canonical,variant,type
Colgate-Palmolive,Colgate,partial
Conagra Brands,Conagra,partial
Huatai Securities,Huatai,partial
QUICKCHEK,quickchek,typography
Royal Bank of Scotland,ROYAL BANK OF SCOTLAND,typography
Donnelley Financial Solutions,DONNELLEY FINANCIAL SOLUTIONS,typography
Galaxy Entertainment Group,Galaxy Entertainment,brand_parent
China Merchants Bank,China Merchants,brand_parent
Suning Tesco Group,suning tesco group,typography
Nintendo,NINTENDO,typography
Zippo Manufacturing,ZippoManufacturing,punctuation
Unitedhealth Group,UNITEDHEALTH GROUP,typography
MediaTek,MediaTek,punctuation
Granite Telecommunications,Granite,partial
Prudential Financial,Prudential,partial
Svenska Handelsbanken,SvenskaHandelsbanken,punctuation
Rolls-Royce,Rolls,partial
Ferguson Enterprises,ferguson enterprises,typography
North Star Windows & Doors,north star windows & doors,typography
Donnelley Financial Solutions,Donnelley Financial,brand_parent
Tata Consultancy Services,Tata Consultancy,brand_parent
Sumitomo Mitsui Banking,Sumitomo,partial
BDO Unibank,BDOUnibank,punctuation
China Reinsurance Group,CHINA REINSURANCE GROUP,typography
PARKER HANNIFIN,PARKER HANNIFIN,typography
Roper Technologies,roper technologies,typography
China International Marine Containers Group,China International Marine Containers,brand_parent
Salesforce.com,SALESFORCE.COM,typography
Intuitive Surgical,intuitive surgical,typography
ASE Technology Holding,ASETechnologyHolding,punctuation
Braskem,Braskem,punctuation
Thermo Fisher Scientific,ThermoFisherScientific,punctuation
Yanzhou Coal Mining,YanzhouCoalMining,punctuation
Woolworths Group,woolworths group,typography
VMware,VMware,punctuation
Bank of Baroda,bank of baroda,typography
CHINA SHENHUA,CHINA SHENHUA,typography
Grifols,GRIFOLS,typography
Baker Hughes Company,baker hughes company,typography
Douglas Elliman Real Estate,DERE,abbreviation
BrightStar Care,BrightStarCare,punctuation
Resona,Resona,punctuation
TAISEI CORPORATION,TAISEICORPORATION,punctuation
Foshan Haitian flavouring & Food,Foshan,partial
Whirlpool Corporation,WHIRLPOOL CORPORATION,typography
H-E-B,h-e-b,typography
World Interpreting,world interpreting,typography
MTR Foods,MTR,partial
China Merchants Bank,ChinaMerchantsBank,punctuation
East Penn Manufacturing,EPM,abbreviation
Yanzhou Coal Mining,Yanzhou Coal Mining,legal_suffix
SCG,scg,typography
GENTEX CORPORATION,GENTEX,legal_suffix
SK Hynix,SK HYNIX,typography
EssilorLuxottica,essilorluxottica,typography
Merck & Co.,Merck,partial
New York Community Bank,NYCB,abbreviation
Fiat Chrysler Automobiles,FiatChryslerAutomobiles,punctuation
Ford Motor Company,FordMotorCompany,punctuation
CNOOC,cnooc,typography
Flanagan Foodservice,FLANAGAN FOODSERVICE,typography
Forrester Research,FORRESTER RESEARCH,typography
Bank of Ningbo,BANK OF NINGBO,typography
Alibaba.com,Alibaba.com,legal_suffix
Republic Services,REPUBLIC SERVICES,typography
Nielsen Norman Group,nielsen norman group,typography
J.F. Shea,J.F. SHEA,typography
WH Group,WH GROUP,typography
Terna Engineering College,Terna Engineering,brand_parent
Novo Nordisk,Novo,partial
BAIC Motor Corporation,BAIC,partial
Sanofi,sanofi,typography
Inter-American Development Bank,inter-american development bank,typography
Choice Hotels International,ChoiceHotelsInternational,punctuation
CIMB GROUP HOLDINGS,CIMB GROUP HOLDINGS,typography
Restaurant Brands International,Restaurant Brands,brand_parent
Banco Bci,BancoBci,punctuation
SANY GROUP,SANYGROUP,punctuation
Murata Manufacturing,MurataManufacturing,punctuation
China Southern Airlines,ChinaSouthernAirlines,punctuation
KwaZulu-Natal Department of Health,KwaZulu Natal Department of,brand_parent
CEMEX,cemex,typography
CGI,cgi,typography
W. R. Berkley Corporation,W R Berkley,brand_parent
Industries Qatar,industries qatar,typography
H&M Hennes & Mauritz,H&M HENNES & MAURITZ,typography
TELUS,telus,typography
Office Depot,OFFICE DEPOT,typography
Amicus Enterprises,AmicusEnterprises,punctuation
Hindalco Industries,HindalcoIndustries,punctuation
Social Coup,Social Coup,legal_suffix
People's Insurance,PEOPLE'S INSURANCE,typography
Industries Qatar,IndustriesQatar,punctuation
GAIL,gail,typography
BAIC Motor Corporation,baic motor corporation,typography
Terna Engineering College,terna engineering college,typography
LAM RESEARCH CORPORATION,LAM RESEARCH CORPORATION,typography
Leggett & Platt,Leggett,partial
Teck Resources,TECK RESOURCES,typography
Yara,yara,typography
Aeon Media Group,Aeon,partial
Cogne Acciai Speciali,cogne acciai speciali,typography
Apotex,APOTEX,typography
Salvo Grima,SalvoGrima,punctuation
Ally Financial,ALLY FINANCIAL,typography
Malayan Banking Berhad,MALAYAN BANKING BERHAD,typography
Porsche Automobil Holding,PorscheAutomobilHolding,punctuation
Lake View Credit Union,Lake View Credit,brand_parent
"ACS, Activities of Construction and Services","ACS, Activities of Construction and Services",legal_suffix
Comcast,comcast,typography
Weyerhaeuser,WEYERHAEUSER,typography
Ally Financial,Ally,partial
Occidental Petroleum,Occidental,partial
Accor,accor,typography
PJSC MMC Norilsk Nickel,PJSC MMC Norilsk,brand_parent
Tigercat International,Tigercat,partial
Cambodian National Insurance,Cambodian National,brand_parent
Petsense,Petsense,punctuation
Lockheed Martin,LockheedMartin,punctuation
CEMEX,CEMEX,punctuation
Aon,aon,typography
ADVANCED INFO SERVICE,ADVANCED,partial
Erste Group Bank,ErsteGroupBank,punctuation
Grupo Aval,Grupo,partial
Accor,ACCOR,typography
NTPC,NTPC,punctuation
Suncrest Bank,suncrest bank,typography
Alstom,alstom,typography
Southwest Airlines,SouthwestAirlines,punctuation
HollyFrontier Corporation,hollyfrontier corporation,typography
Bajaj Finance,BajajFinance,punctuation
CMS Energy,CMS ENERGY,typography
Aeon Media Group,AEON MEDIA GROUP,typography
Boston Properties,BOSTON PROPERTIES,typography
Ryanair DAC,RYANAIR DAC,typography
Verizon,VERIZON,typography
International Consolidated Airlines Group,International Consolidated Airlines,brand_parent
Dassault Aviation,dassault aviation,typography
Static Control Components,Static Control Components,legal_suffix
First Data,First,partial
Adventist Health and Rideout,AdventistHealthandRideout,punctuation
Akzo Nobel,AkzoNobel,punctuation
Hess Corporation,hess corporation,typography
AIA Group,AIA GROUP,typography
Dongfeng Motor Group,DongfengMotorGroup,punctuation
MetLife Services and Solutions,MetLifeServicesandSolutions,punctuation
Telia,Telia,punctuation
Boeing,Boeing,punctuation
Freddie Mac,Freddie,partial
Delta Regional Medical Center,DELTA REGIONAL MEDICAL CENTER,typography
Halliburton,HALLIBURTON,typography
Western Digital,western digital,typography
Samsung SDS,samsung sds,typography
DEVMET,devmet,typography
DXC Technology,DXCTechnology,punctuation
Brookfield Asset Managemen,Brookfield Asset,brand_parent
Metro Cast Network,Metro Cast,brand_parent
Nucor,NUCOR,typography
Telenor Group,Telenor,partial
MOL GROUP,MOL,partial
Kingston Hospital NHS Foundation Trust,KINGSTON HOSPITAL NHS FOUNDATION TRUST,typography
Arch Capital Group,Arch Capital,brand_parent
American Water,AMERICAN WATER,typography
Hoosier Hills Credit Union,Hoosier Hills Credit,brand_parent
Foshan Haitian flavouring & Food,FoshanHaitianflavouringFood,punctuation
Jabil,Jabil,punctuation
AlphaKOR Group,ALPHAKOR GROUP,typography
CAVENDER'S OUT OF STATE STORES LTD,CAVENDER'S OUT OF STATE STORES,legal_suffix
Old Mutual,OldMutual,punctuation
AIS Technologies Group,ais technologies group,typography
HUB International,HUBInternational,punctuation
Inter-American Development Bank,Inter American Development,brand_parent
Melrose Industries,MelroseIndustries,punctuation
Total,total,typography
Arkema,ARKEMA,typography
The Northwestern Mutual Life Insurance Company,TNMLIC,abbreviation
AvalonBay,AVALONBAY,typography
Healthfirst,HEALTHFIRST,typography
TENAGA NASIONAL,TENAGANASIONAL,punctuation
British American Tobacco,BAT,abbreviation
Kasikornbank,kasikornbank,typography
F. Hoffmann-La Roche,F. HOFFMANN-LA ROCHE,typography
Bank of Tianjin,bank of tianjin,typography
Bank of America,BoA,abbreviation
Terna Engineering College,TernaEngineeringCollege,punctuation
Amphenol Corporation,AMPHENOL CORPORATION,typography
Loews,Loews,punctuation
Sumitomo Mitsui Trust,SumitomoMitsuiTrust,punctuation
Shin Kong Group,shin kong group,typography
AbbVie,abbvie,typography
Liberty Global,liberty global,typography
China Construction Bank,ChinaConstructionBank,punctuation
Koninklijke Philips,koninklijke philips,typography
SCENTRE GROUP,scentre group,typography
CHINA JINMAO HOLDINGS GROUP,CHINA JINMAO HOLDINGS GROUP,typography
Cognizant,cognizant,typography
Covivio,covivio,typography
Fortive,FORTIVE,typography
Wanhua Chemical Group,Wanhua Chemical,brand_parent
National Australia Bank Limited ABN,national australia bank limited abn,typography
Aryzta,ARYZTA,typography
HOYA Corporation,HOYA CORPORATION,typography
Gallagher,gallagher,typography
Lear Corporation,LearCorporation,punctuation
Bank Hapoalim,BankHapoalim,punctuation
Essity Aktiebolag,ESSITY AKTIEBOLAG,typography
Huntington National Bank,Huntington National,brand_parent
CenterPoint Energy,CenterPointEnergy,punctuation
Dimensional Fund Advisors,DIMENSIONAL FUND ADVISORS,typography
United Parcel Service of America,united parcel service of america,typography
Kia Motors,Kia,partial
Equity Residential,Equity,partial
Fortescue Metals Group,FORTESCUE METALS GROUP,typography
Polyphase Microwave,Polyphase,partial
TechKNOWvatioN,techknowvation,typography
Leon's,LEON'S,typography
Waste Connections,WasteConnections,punctuation
Oriental Land,ORIENTAL LAND,typography
Zurn Industries,ZURN INDUSTRIES,typography
wasp It labs,wasp It,brand_parent
Ecolab,ECOLAB,typography
Micro Modular System,micro modular system,typography
Zimmer Biomet,zimmer biomet,typography
Advanced Bank of Asia,Advanced Bank of,brand_parent
PepsiCo,PepsiCo,punctuation
INPEX CORPORATION,INPEXCORPORATION,punctuation
HighRadius,HighRadius,punctuation
Westlake Chemical Corporation,WESTLAKE CHEMICAL CORPORATION,typography
East West Bank,EastWestBank,punctuation
SailPoint Technologies Holdings,SailPoint,partial
J.F. Shea,JFShea,punctuation
McKesson,mckesson,typography
Illinois Tool Works,illinois tool works,typography
ASTI Holdings,ASTI,partial
Tigercat International,TIGERCAT INTERNATIONAL,typography
Martinrea International,martinrea international,typography
Zoetis,zoetis,typography
TCFHC,TCFHC,punctuation
GEOVERT,GEOVERT,punctuation
Sky Bird Travel & Tours,Sky Bird Travel,brand_parent
British American Tobacco,British American Tobacco,legal_suffix
Lendmark Financial Services,LendmarkFinancialServices,punctuation
Hewlett Packard Enterprise,HPE,abbreviation
SCENTRE GROUP,SCENTRE GROUP,typography
CIL,cil,typography
FAMILY DOLLAR STORES,family dollar stores,typography
Cifi Group,CifiGroup,punctuation
Capital Group,CapitalGroup,punctuation
Ameriprise Financial,AmeripriseFinancial,punctuation
Omnicom Group,OMNICOM GROUP,typography
Ameren Services,ameren services,typography
Intact Financial Corporation,INTACT FINANCIAL CORPORATION,typography
Walgreens Boots Alliance,WalgreensBootsAlliance,punctuation
Assa Abloy,ASSA ABLOY,typography
Aena,Aena,punctuation
SHI International,SHI,partial
Shanghai Pharmaceutical Group,Shanghai Pharmaceutical,brand_parent
NSEIT,nseit,typography
INT TECHNOLOGIES,INT TECHNOLOGIES,typography
China International Marine Containers Group,CHINA INTERNATIONAL MARINE CONTAINERS GROUP,typography
Mega Holdings,mega holdings,typography
Aeon Media Group,AMG,abbreviation
Conestoga Meat Packers,ConestogaMeatPackers,punctuation
Illumina,ILLUMINA,typography
Aptiv,APTIV,typography
KLA Corporation,kla corporation,typography
Hilton,HILTON,typography
Intercontinental Exchange,INTERCONTINENTAL EXCHANGE,typography
UNIPOL GRUPPO,unipol gruppo,typography
Norfolk Southern,Norfolk,partial
Otsuka Holding,otsuka holding,typography
NRG Energy,NRG,partial
PGNiG,pgnig,typography
Murphy & Sitz Insurance Agency,Murphy Sitz Insurance,brand_parent
Trane Technologies,Trane,partial
E.SUN,e.sun,typography
Massachusetts Mutual Life Insurance Company (MassMutual),MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY (MASSMUTUAL),typography
Century Bank,century bank,typography
London Stock Exchange,LONDON STOCK EXCHANGE,typography
RELX Group,RELX GROUP,typography
Simcoe Home Furniture,simcoe home furniture,typography
H&M Hennes & Mauritz,HMHennesMauritz,punctuation
Bankia,BANKIA,typography
Aeon Media Group,AeonMediaGroup,punctuation
Swisscom,Swisscom,punctuation
Monster Energy,MonsterEnergy,punctuation
SANY GROUP,SANY,partial
Schroders,Schroders,punctuation
The Home Depot,the home depot,typography
South32,South,partial
THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK MELLON,typography
HSBC Group,hsbc group,typography
Advantage Software,ADVANTAGE SOFTWARE,typography
Formosa Plastics Corporation,Formosa,partial
AIB Worldwide,AIBWorldwide,punctuation
CHN,chn,typography
Medtronic,Medtronic,punctuation
Windstream Communications,WindstreamCommunications,punctuation
Alaska Airlines,ALASKA AIRLINES,typography
Berkshire Hathaway,Berkshire,partial
China International Capital Corporation,china international capital corporation,typography
Saint-Gobain,Saint-Gobain,punctuation
American Airlines,AMERICAN AIRLINES,typography
BNP Paribas Mutual Fund,BPMF,abbreviation
Rogers Communications,Rogers,partial
China Pacific Insurance,CHINA PACIFIC INSURANCE,typography
PwC,PwC,punctuation
Atlas Copco,AtlasCopco,punctuation
Citizens National Bank,Citizens National,brand_parent
LogistiCare Solutions,LogistiCareSolutions,punctuation
W. R. Berkley Corporation,WRBerkleyCorporation,punctuation
Dubai Islamic Bank,Dubai Islamic,brand_parent
University of Missouri,university of missouri,typography
Credit Agricole,Credit Agricole,legal_suffix
Daines Insurance and Financial Services,DAINES INSURANCE AND FINANCIAL SERVICES,typography
Entergy,entergy,typography
Deloitte ToucheTohmatsu,DELOITTE TOUCHETOHMATSU,typography
NXP Semiconductors,NXP,partial
Ahold Delhaize,Ahold,partial
Merck & Co.,MERCK & CO.,typography
ISCISTECH Business Solutions,ISCISTECH Business,brand_parent
Vertex Pharmaceuticals,vertex pharmaceuticals,typography
Daines Insurance and Financial Services,DainesInsuranceandFinancialServices,punctuation
Constellation Brands,Constellation,partial
Suzuki Motor,SuzukiMotor,punctuation
Alexion Pharmaceuticals,AlexionPharmaceuticals,punctuation
Conagra Brands,conagra brands,typography
Fairfax Financial Holdings,fairfax financial holdings,typography
Telkom Indonesia,telkom indonesia,typography
Sompo International,Sompo,partial
Medtronic,MEDTRONIC,typography
Saint-Gobain,saint-gobain,typography
Grupo Aval,grupo aval,typography
HUB International,HUB INTERNATIONAL,typography
Riyad Bank,riyad bank,typography
KUWAIT FINANCE HOUSE,KUWAITFINANCEHOUSE,punctuation
Huatai Securities,HuataiSecurities,punctuation
Arch Capital Group,arch capital group,typography
Purolator,Purolator,punctuation
Verisk Analytics,VeriskAnalytics,punctuation
Huaneng Power International,HuanengPowerInternational,punctuation
IPG,IPG,punctuation
KnowBe4,KnowBe,partial
China CITIC Bank International,CHINA CITIC BANK INTERNATIONAL,typography
North Star Windows & Doors,NORTH STAR WINDOWS & DOORS,typography
Corey Auto Wreckers,COREY AUTO WRECKERS,typography
Industrial Alliance Insurance and Financial Services,Industrial Alliance Insurance and Financial,brand_parent
LPL Financial,LPL FINANCIAL,typography
American Family Insurance,AMERICAN FAMILY INSURANCE,typography
Pioneer Natural Resources,PNR,abbreviation
PTT Public Company Limited,PPCL,abbreviation
Voya Services,VoyaServices,punctuation
Alexion Pharmaceuticals,Alexion,partial
Intel,intel,typography
Tuple Predictive Labs,Tuple Predictive,brand_parent
Bank Hapoalim,BANK HAPOALIM,typography
Jeronimo Martins,jeronimo martins,typography
Suning Tesco Group,Suning Tesco Group,legal_suffix
Scripps Health,scripps health,typography
PTT Global Chemical,ptt global chemical,typography
NAN YA PLASTICS CORPORATION,NAN YA PLASTICS,legal_suffix
Shiseido,Shiseido,punctuation
Cargill,cargill,typography
First Cambodia,first cambodia,typography
Conagra Brands,CONAGRA BRANDS,typography
Parasoft,parasoft,typography
Kearney & Company,KEARNEY & COMPANY,typography
BorgWarner,borgwarner,typography
University of Missouri,UniversityofMissouri,punctuation
Adventist Health St. Helena,ADVENTIST HEALTH ST. HELENA,typography
Eni,ENI,typography
Banco de Sabadell,BancodeSabadell,punctuation
Samsung C&T,SamsungCT,punctuation
Charles Schwab & Co.,CHARLES SCHWAB & CO.,typography
Kobe Steel,KOBE STEEL,typography
InterContinental Hotels Group,intercontinental hotels group,typography
