canonical,variant,type
Coca-Cola European Partners,Coca Cola European,brand_parent
Daiichi Sankyo,Daiichi,partial
Pernod Ricard,Pernod,partial
Key Corp,Key,legal_suffix
DAIKIN INDUSTRIES,DAIKIN,partial
Northrop Grumman,Northrop,partial
Agilent Technologies,Agilent,partial
HollyFrontier Corporation,HollyFrontier,legal_suffix
S&P Global Market Intelligence,SPGMI,abbreviation
Madinah Translation,Madinah,partial
Procter & Gamble,P&G,abbreviation
Shimao Property Holdings,SPH,abbreviation
Honda Motor,Honda,partial
Bank of East Asia,BoEA,abbreviation
Macatawa Bank,Macatawa,partial
Townsend Lumber,Townsend,partial
Accord Business Consulting,Accord,partial
Wells Fargo,Wells,partial
Shearer's Foods,Shearer,partial
Kuehne+Nagel,Kuehne,partial
Suning Tesco Group,Suning,partial
ASAHI GROUP HOLDINGS,ASAHI GROUP,brand_parent
PKO Bank Polski,PKO,partial
Subaru of America,SoA,abbreviation
FREEDOM AUTO,FREEDOM,partial
PVH Corp,PC,abbreviation
THE BANK OF NEW YORK MELLON,THE BANK OF NEW YORK,brand_parent
China International Marine Containers Group,CIMCG,abbreviation
Wilson N. Jones Regional Medical Center,WNJRMC,abbreviation
Sumitomo Realty & Development,Sumitomo,partial
Ultra-Grip International,UGI,abbreviation
Cisco Systems,Cisco,partial
J/E Bearing and Machine,J E Bearing and,brand_parent
Uber Technologies,Uber,partial
Saudi Electricity Company,Saudi Electricity,legal_suffix
GKN Sinter Metals Engineering,GSME,abbreviation
Sumitomo Mitsui Trust,Sumitomo Mitsui,brand_parent
East Penn Manufacturing,East Penn,brand_parent
Arab National Bank,Arab,partial
Qurate Retail,Qurate,partial
Guangzhou Rural Commercial Bank,Guangzhou Rural Commercial,brand_parent
Huansheng Ecommerce,Huansheng,partial
Sumitomo Mitsui Trust,Sumitomo,partial
Chubu Electric Power,Chubu,partial
Banco de Sabadell,BdS,abbreviation
CHINA MINSHENG BANK,CHINA MINSHENG,brand_parent
Keurig Dr Pepper,Keurig Dr,brand_parent
T.F. Warren Group,T F Warren,brand_parent
Hewlett Packard Enterprise,Hewlett Packard,brand_parent
Svenska Handelsbanken,Svenska,partial
Baylor Scott & White Health,Baylor Scott White,brand_parent
Douglas Elliman Real Estate,Douglas Elliman Real,brand_parent
The Siam Commercial Bank,The Siam Commercial,brand_parent
Johnson & Johnson Services,JJS,abbreviation
Shanghai Electric Power,Shanghai Electric,brand_parent
SK TELECOM,SK,partial
Mega Holdings,Mega,partial
Banorte Financial,Banorte,partial
LG Chem,LG,partial
True North Energy,True North,brand_parent
Applied Materials,Applied,partial
Shoppers Drug Mart,Shoppers Drug,brand_parent
Citizens Financial Group,Citizens Financial,brand_parent
PPG Industries,PPG,partial
Aluminum Corp,Aluminum,legal_suffix
Deloitte Touche Tohmatsu,Deloitte,partial
MITSUBISHI MOTORS CORPORATION,MITSUBISHI MOTORS,legal_suffix
IBK (Industrial Bank of Korea),IBK,partial
Advocate Health Care,Advocate Health,brand_parent
Barrick Gold Corporation,Barrick,partial
Infineon Technologies,Infineon,partial
Air Products & Chemicals,APC,abbreviation
MGM Resorts International,MGM Resorts,brand_parent
Hanwha Group,Hanwha,partial
Samba Financial Group,Samba,partial
Sharp Corporation,Sharp,legal_suffix
Royal Bank of Scotland,RBoS,abbreviation
MTN Group Management Services,MTN Group Management,brand_parent
Lendmark Financial Services,Lendmark,partial
Stanley Black & Decker,SBD,abbreviation
Krungthai Bank,KB,abbreviation
Royal Caribbean International,Royal Caribbean,brand_parent
Meiji Holdings,Meiji,partial
FUNAI ELECTRIC,FUNAI,partial
Zippo Manufacturing,Zippo,partial
Telkom Indonesia,Telkom,partial
NEC Corporation,NEC,legal_suffix
Rio Tinto,RT,abbreviation
J.F. Shea,JFS,abbreviation
CHINA JINMAO HOLDINGS GROUP,CHINA JINMAO HOLDINGS,brand_parent
Tokyo Century Corporation,Tokyo Century,legal_suffix
SAMSUNG FIRE & MARINE INSURANCE,SAMSUNG,partial
Rockwell Automation,Rockwell,partial
Dell Technologies,Dell,partial
Groupe ADP,Groupe,partial
ONE Sotheby's International Realty,ONE Sotheby s International,brand_parent
Mediterranean Bank Network,Mediterranean Bank,brand_parent
China Mengniu Dairy,China Mengniu,brand_parent
MOHAWK INDUSTRIES,MOHAWK,partial
The Kraft Heinz Company,The Kraft Heinz,legal_suffix
Nippon Telegraph and Telephone,Nippon Telegraph and,brand_parent
Deere and Company,Deere and,legal_suffix
Formosa Chemicals & Fibre,Formosa Chemicals,brand_parent
Liberty Mutual Insurance,Liberty Mutual,brand_parent
Invision Technologies,Invision,partial
Mitsubishi UFJ Financial Group,Mitsubishi UFJ Financial,brand_parent
Daiwa Securities Group,DSG,abbreviation
Power Construction Corporation of China,PCCoC,abbreviation
Fairfax Financial Holdings,Fairfax,partial
Laboratory Corporation of America Holdings,Laboratory  of America Holdings,legal_suffix
Applied Materials,AM,abbreviation
Elkay Manufacturing,Elkay,partial
BNP Paribas,BP,abbreviation
Evraz Group,Evraz,partial
SUMITOMO METAL MINING,SUMITOMO METAL,brand_parent
SCENTRE GROUP,SCENTRE,partial
China Tower Corporation,China Tower,legal_suffix
Empereon-Constar,Empereon,partial
Omnicom Group,Omnicom,partial
KUWAIT FINANCE HOUSE,KUWAIT FINANCE,brand_parent
Devon Energy,Devon,partial
Homewood Health,Homewood,partial
Tata Steel,Tata,partial
Legend Holdings Corporation,Legend Holdings,legal_suffix
International Paper,International,partial
Novo Nordisk,NN,abbreviation
Plumas Bank,Plumas,partial
KEYENCE CORPORATION,KEYENCE,legal_suffix
China Cinda Asset Management,China Cinda Asset,brand_parent
Yanzhou Coal Mining,Yanzhou Coal,brand_parent
Fiat Chrysler Automobiles,Fiat Chrysler,brand_parent
The PNC Financial Services Group,The PNC Financial Services,brand_parent
Sanlam Life Insurance,Sanlam Life,brand_parent
Alibaba.com,Alibaba,partial
Seagate Technology,Seagate,partial
Northwell Health,Northwell,partial
United Rotary Brush,United Rotary,brand_parent
Lendmark Financial Services,LFS,abbreviation
Cifi Group,Cifi,partial
THE BANK OF NEW YORK MELLON,TBONYM,abbreviation
Haitong Securities,Haitong,partial
Genesis HealthCare,GH,abbreviation
Lynch Consultants,Lynch,partial
Evercam Ireland,Evercam,partial
Cresittel BEAUTY,Cresittel,partial
Shimao Property Holdings,Shimao,partial
Takeda Pharmaceutical,Takeda,partial
Texoma Medical Center,TMC,abbreviation
JFE Holdings,JFE,partial
LARSEN & TOUBRO,LARSEN,partial
SLN Group,SLN,partial
ICE Development,ICE,partial
Yuanta Financial Holding,Yuanta Financial,brand_parent
Dongfeng Motor Group,Dongfeng Motor,brand_parent
The General Hospital Corporation,The General Hospital,legal_suffix
Brookfield Asset Managemen,Brookfield,partial
NEMX Skilled Trades,NEMX Skilled,brand_parent
Quanta Computer,Quanta,partial
Ross Stores,Ross,partial
YILI.COM,YILI,partial
Dixon Hughes Goodman,DHG,abbreviation
Westlake Chemical Corporation,Westlake Chemical,legal_suffix
Associated British Foods,Associated British,brand_parent
Edwards Lifesciences Corporation,Edwards Lifesciences,legal_suffix
AGRICULTURAL BANK OF CHINA (ABC),AGRICULTURAL BANK OF CHINA,brand_parent
Metropolitan Bank and Trust,Metropolitan Bank and,brand_parent
Whirlpool Corporation,Whirlpool,legal_suffix
General Electric,GE,abbreviation
Baloise Group,Baloise,partial
Donnelley Financial Solutions,DFS,abbreviation
Grasim Industries,Grasim,partial
Hindalco Industries,Hindalco,partial
Wanhua Chemical Group,Wanhua,partial
Teva Pharmaceutical Industries,Teva Pharmaceutical,brand_parent
Caliber Home Loans,Caliber Home,brand_parent
TE Connectivity,TE,partial
InterContinental Hotels Group,InterContinental,partial
CTBC Financial,CTBC,partial
Kaiser Foundation Health Plan,KFHP,abbreviation
Canadian National Railway,Canadian National,brand_parent
TE Connectivity,TC,abbreviation
New York Community Bank,New York Community,brand_parent
Chunghwa Telecom,Chunghwa,partial
Jingdong JD.com,Jingdong JD,brand_parent
SINGING RIVER HEALTH SYSTEM,SRHS,abbreviation
PTT Public Company Limited,PTT Public  Limited,legal_suffix
KYOCERA Corporation,KYOCERA,legal_suffix
Knorr-Bremse,Knorr,partial
KOREA GAS CORPORATION,KOREA GAS,legal_suffix
Xcel Energy,Xcel,partial
CarMax Business Services,CarMax,partial
PKN ORLEN,PKN,partial
Singapore Airlines,SIA,abbreviation
Green Shield Canada,Green Shield,brand_parent
Krungthai Bank,Krungthai,partial
Mitsubishi UFJ Financial Group,Mitsubishi,partial
Dixon Hughes Goodman,Dixon,partial
Dassault Aviation,Dassault,partial
Japan Exchange Group,JEG,abbreviation
KOREA GAS CORPORATION,KOREA,partial
S&P Global,S P,brand_parent
State Bank of India,SBoI,abbreviation
Arab National Bank,ANB,abbreviation
Kearney & Company,Kearney,partial
OTP Bank,OTP,partial
Sumitomo Mitsui Financial,Sumitomo Mitsui,brand_parent
Evergrande Group,Evergrande,partial
PKO Bank Polski,PKO Bank,brand_parent
Roberts Trucking,Roberts,partial
Huaneng Power International,Huaneng Power,brand_parent
Telenor Group,TELENOR GROUP,typography
WH Group,WH,partial
YILI.COM,yili.com,typography
Air Products & Chemicals,Air Products,brand_parent
Japan Exchange Group,JapanExchangeGroup,punctuation
Lincoln National,lincoln national,typography
China Development Financial Holding Corporation,china development financial holding corporation,typography
V-Soft Consulting,V Soft,brand_parent
GKN Sinter Metals Engineering,gkn sinter metals engineering,typography
D.R. Horton,D.R. HORTON,typography
ZheShang Bank,ZHESHANG BANK,typography
Lloyds Banking Group,LloydsBankingGroup,punctuation
Egar Tool & Die,Egar Tool,brand_parent
MetLife Services and Solutions,MetLife,partial
PARAMOUNT RESIDENTIAL MORTGAGE GROUP,PARAMOUNTRESIDENTIALMORTGAGEGROUP,punctuation
Home Depot Product Authority,home depot product authority,typography
CNH Industrial,CNH INDUSTRIAL,typography
Schaeffler,SCHAEFFLER,typography
DISH Network,DISHNetwork,punctuation
Investor AB,InvestorAB,punctuation
Symmetry Financial Group,SymmetryFinancialGroup,punctuation
Lanyon Solutions,LANYON SOLUTIONS,typography
Berry Global,BERRY GLOBAL,typography
WOORI FINANCIAL GROUP,WFG,abbreviation
NewAgeSys Solutions,newagesys solutions,typography
CME Group,cme group,typography
U.S. Bank,U.S. BANK,typography
SHIMIZU CORPORATION,SHIMIZU,legal_suffix
Dassault Systemes,DassaultSystemes,punctuation
TD Bank,TD,partial
Equity Residential,EQUITY RESIDENTIAL,typography
BOE Technology Group,boe technology group,typography
Bank Hapoalim,BH,abbreviation
Teva Pharmaceutical Industries,TEVA PHARMACEUTICAL INDUSTRIES,typography
Mitsubishi Chemical,Mitsubishi,partial
Guaranty Bank & Trust,GUARANTY BANK & TRUST,typography
Egar Tool & Die,EGAR TOOL & DIE,typography
Amadeus IT Group,Amadeus,partial
Shiseido,shiseido,typography
Masco,masco,typography
Pembina Pipeline Corporation,Pembina Pipeline,legal_suffix
Kearney & Company,KearneyCompany,punctuation
FC Compassus,fc compassus,typography
Licking Memorial Health Systems,licking memorial health systems,typography
Markel Corporation,markel corporation,typography
Grupo Aval,GrupoAval,punctuation
Reliance Industries,RelianceIndustries,punctuation
China Gas Holdings,China Gas,brand_parent
Booz Allen Hamilton,BoozAllenHamilton,punctuation
ADS Alliance Data Systems,AADS,abbreviation
American Financial Group,American Financial,brand_parent
airtel India,airtel,partial
Goldman Sachs,goldman sachs,typography
Astellas Pharma,AstellasPharma,punctuation
ASAHI GROUP HOLDINGS,asahi group holdings,typography
Mahindra & Mahindra,MAHINDRA & MAHINDRA,typography
KLA Corporation,KLACorporation,punctuation
Experian,experian,typography
Metro Cast Network,MCN,abbreviation
Uber Technologies,UBER TECHNOLOGIES,typography
Exxon Mobil,exxon mobil,typography
DuPont,DUPONT,typography
AntarChile,ANTARCHILE,typography
KwaZulu-Natal Department of Health,KWAZULU-NATAL DEPARTMENT OF HEALTH,typography
Ultra-Grip International,ultra-grip international,typography
Intact Financial Corporation,IFC,abbreviation
Merck & Co,MerckCo,punctuation
Investec,INVESTEC,typography
CREDIT SUISSE GROUP,CREDIT SUISSE,brand_parent
Goldman Sachs,GS,abbreviation
TH Medical,TH,partial
Martinrea International,MARTINREA INTERNATIONAL,typography
Akzo Nobel,akzo nobel,typography
American Tire Distributors ,AmericanTireDistributors,punctuation
Western Alliance Bancorporation,western alliance bancorporation,typography
Sumitomo Chemical,sumitomo chemical,typography
Honeywell International,HONEYWELL INTERNATIONAL,typography
Evercam Ireland,evercam ireland,typography
Keller Williams Realty,Keller,partial
Williams Grand Prix Engineering,Williams Grand Prix,brand_parent
NT Financial Services,NFS,abbreviation
Jiangxi Copper Corporation,JIANGXI COPPER CORPORATION,typography
SUNTORY BEVERAGE & FOOD,SBF,abbreviation
CK Hutchison,ck hutchison,typography
Lumileds Holding,Lumileds,partial
ENBRIDGE,enbridge,typography
Bank Negara Indonesia,bank negara indonesia,typography
BANK OF CHINA(BOC),BANKOFCHINA(BOC),punctuation
Neato Employment Services,Neato Employment,brand_parent
Unum Group,Unum,partial
Paychex,PAYCHEX,typography
Intuitive Surgical,INTUITIVE SURGICAL,typography
Netflix,netflix,typography
Zimmer Biomet,ZIMMER BIOMET,typography
SAMSUNG FIRE & MARINE INSURANCE,SFMI,abbreviation
Agilent Technologies,AgilentTechnologies,punctuation
Deloitte Touche Tohmatsu,deloitte touche tohmatsu,typography
Daimler,daimler,typography
CIMB GROUP HOLDINGS,CIMB,partial
American Airlines,AmericanAirlines,punctuation
Fiserv,FISERV,typography
airtel India,AIRTEL INDIA,typography
Banco Santander,banco santander,typography
Japan Exchange Group,JAPAN EXCHANGE GROUP,typography
WEST JAPAN RAILWAY,WJR,abbreviation
Isuzu Motors,Isuzu,partial
Exxon Mobil Corporation,exxon mobil corporation,typography
Keurig Dr Pepper,KEURIG DR PEPPER,typography
Skandinaviska Enskilda Banken,Skandinaviska Enskilda,brand_parent
Seagate Technology,SEAGATE TECHNOLOGY,typography
Newmont Corporation,newmont corporation,typography
Kinder Signs and Design,Kinder Signs and,brand_parent
Idemitsu Kosan,IdemitsuKosan,punctuation
China Communications Construction,China Communications,brand_parent
Restaurant Brands International,restaurant brands international,typography
Infosys,infosys,typography
Shiseido,SHISEIDO,typography
Chunghwa Telecom,chunghwa telecom,typography
Lockheed Martin,LOCKHEED MARTIN,typography
USAA,usaa,typography
Punjab National Bank,PNB,abbreviation
Sumitomo Mitsui Financial,SMF,abbreviation
Third Federal Savings & Loan,THIRD FEDERAL SAVINGS & LOAN,typography
OZCARE,ozcare,typography
China Taiping Insurance,CHINA TAIPING INSURANCE,typography
Fifth Third Bank,FifthThirdBank,punctuation
Alstom,ALSTOM,typography
Linamar,linamar,typography
Sandvik,sandvik,typography
Willis Towers Watson,Willis Towers,brand_parent
Kaiser Foundation Health Plan,Kaiser,partial
Mizuho Financial,MIZUHO FINANCIAL,typography
Goodyear Tire & Rubber,Goodyear Tire,brand_parent
TMMC,tmmc,typography
SEKISUI HOUSE,sekisui house,typography
Regions Bank,REGIONS BANK,typography
Samsung SDS,Samsung,partial
NTT DATA,NTT,partial
Jingdong JD.com,JingdongJDcom,punctuation
Jiangxi Copper Corporation,Jiangxi Copper,legal_suffix
Link Asset Management,LinkAssetManagement,punctuation
KLA Corporation,KLA CORPORATION,typography
Berry Global,Berry,partial
George Weston,george weston,typography
Schlumberger,SCHLUMBERGER,typography
Sanlam Life Insurance,SanlamLifeInsurance,punctuation
General Mills,GeneralMills,punctuation
Altice USA,Altice,partial
Canadia Bank,canadia bank,typography
Cogne Acciai Speciali,COGNE ACCIAI SPECIALI,typography
LG Household & Health Care,lg household & health care,typography
Formosa Plastics Corporation,Formosa Plastics,legal_suffix
Stanley Black & Decker,StanleyBlackDecker,punctuation
The Siam Commercial Bank Public Company,THE SIAM COMMERCIAL BANK PUBLIC COMPANY,typography
Banner Health,BannerHealth,punctuation
Channel 5 Broadcasting,Channel5Broadcasting,punctuation
PVH Corp,PVHCorp,punctuation
DAIKIN INDUSTRIES,DAIKININDUSTRIES,punctuation
Origin Energy,ORIGIN ENERGY,typography
Turkish Airlines,turkish airlines,typography
ICBC,icbc,typography
Banco Bilbao Vizcaya Argentaria,BANCO BILBAO VIZCAYA ARGENTARIA,typography
